Row Labels	Sum of Hourly production [kWh]
1/1/2015	97228.345
1/2/2015	96807.69
1/3/2015	104762.59
1/4/2015	112447.758
1/5/2015	112723.153
1/6/2015	109038.238
1/7/2015	102828.19
1/8/2015	115926.86
1/9/2015	118978.296
1/10/2015	136508.725
1/11/2015	152305.203
1/12/2015	155909.856
1/13/2015	160645.317
1/14/2015	162798.862
1/15/2015	162644.208
1/16/2015	158893.198
1/17/2015	164618.963
1/18/2015	180424.857
1/19/2015	196837.56
1/20/2015	206987.816
1/21/2015	211526.672
1/22/2015	217716.036
1/23/2015	251885.543
1/24/2015	280576.154
1/25/2015	271797.702
1/26/2015	259384.288
1/27/2015	243559.963
1/28/2015	238769.898
1/29/2015	228595.056
1/30/2015	220895.685
1/31/2015	209281.188
2/1/2015	167789.78
2/2/2015	204826.08
2/3/2015	216744.016
2/4/2015	243879.593
2/5/2015	260667.284
2/6/2015	316297.806
2/7/2015	337821.558
2/8/2015	338023.228
2/9/2015	308932.339
2/10/2015	284407.979
2/11/2015	265215.361
2/12/2015	271076.411
2/13/2015	258012.444
2/14/2015	260500.866
2/15/2015	261076.304
2/16/2015	250674.994
2/17/2015	244781.977
2/18/2015	226344.005
2/19/2015	227830.623
2/20/2015	236801.084
2/21/2015	238780.584
2/22/2015	245071.53
2/23/2015	256737.301
2/24/2015	250033.185
2/25/2015	272930.028
2/26/2015	273908.314
2/27/2015	272724.787
2/28/2015	280556.136
3/1/2015	176331.242
3/2/2015	161641.94
3/3/2015	212286.516
3/4/2015	252785.335
3/5/2015	277995.415
3/6/2015	0
3/7/2015	276520.895
3/8/2015	254098.113
3/9/2015	234917.501
3/10/2015	231387.627
3/11/2015	233568.56
3/12/2015	233009.79
3/13/2015	207518.732
3/14/2015	200948.09
3/15/2015	200941.809
3/16/2015	199637.615
3/17/2015	187176.973
3/18/2015	201696.723
3/19/2015	204196.293
3/20/2015	206948.672
3/21/2015	0
3/22/2015	53233.48
3/23/2015	209403.269
3/24/2015	194260.722
3/25/2015	190336.164
3/26/2015	215103.879
3/27/2015	332116.784
3/28/2015	326651.08
3/29/2015	317852.531
3/30/2015	319569.743
3/31/2015	343311.547
4/1/2015	24869.183
4/2/2015	24119.072
4/3/2015	23171.201
4/4/2015	22654.23
4/5/2015	20285.694
4/6/2015	16596.889
4/7/2015	20438.489
4/8/2015	20715.844
4/9/2015	19661.232
4/10/2015	19962.8
4/11/2015	21214.088
4/12/2015	23051.171
4/13/2015	22364.515
4/14/2015	29947.824
4/15/2015	25466.703
4/16/2015	10247
4/17/2015	19000.45
4/18/2015	28509.683
4/19/2015	27589.277
4/20/2015	28606.239
4/21/2015	26815.261
4/22/2015	33160.799
4/23/2015	33515.369
4/24/2015	32069.778
4/25/2015	33132.191
4/26/2015	18795.175
4/27/2015	26731.551
4/28/2015	33714.746
4/29/2015	30243.037
4/30/2015	66110.989
5/1/2015	708508.106
5/2/2015	675181.032
5/3/2015	661430.934
5/4/2015	679570.489
5/5/2015	668976.691
5/6/2015	659005.634
5/7/2015	620106.806
5/8/2015	598618.097
5/9/2015	523628.576
5/10/2015	567326.626
5/11/2015	615175.529
5/12/2015	622607.904
5/13/2015	613450.06
5/14/2015	581829.168
5/15/2015	565527.051
5/16/2015	593844.691
5/17/2015	597661.867
5/18/2015	581610.198
5/19/2015	579588.972
5/20/2015	564231.533
5/21/2015	574453.16
5/22/2015	556002.374
5/23/2015	535215.42
5/24/2015	529003.487
5/25/2015	519378.328
5/26/2015	502848.412
5/27/2015	492436.364
5/28/2015	463263.164
5/29/2015	451143.349
5/30/2015	439432.817
5/31/2015	416957.414
6/1/2015	14789.266
6/2/2015	4420.55
6/3/2015	14248.039
6/4/2015	13282.989
6/5/2015	15180.683
6/6/2015	14122.352
6/7/2015	13685.476
6/8/2015	12696.917
6/9/2015	12308.596
6/10/2015	13949.79
6/11/2015	12890.096
6/12/2015	12251.219
6/13/2015	21097.834
6/14/2015	245219.43
6/15/2015	8639.572
6/16/2015	186115.096
6/17/2015	11268.994
6/18/2015	265911.173
6/19/2015	247722.348
6/20/2015	231516.732
6/21/2015	263664.824
6/22/2015	204517.573
6/23/2015	217919.527
6/24/2015	176048.007
6/25/2015	190046.848
6/26/2015	0
6/27/2015	8350.717
6/28/2015	195953.105
6/29/2015	176262.093
6/30/2015	200162.536
7/1/2015	316616.119
7/2/2015	264029.292
7/3/2015	256928.129
7/4/2015	260152.576
7/5/2015	246723.769
7/6/2015	246407.268
7/7/2015	211330.382
7/8/2015	216548.405
7/9/2015	208824.622
7/10/2015	206793.825
7/11/2015	210025.404
7/12/2015	200093.423
7/13/2015	197772.73
7/14/2015	193938.44
7/15/2015	184157.949
7/16/2015	182492.983
7/17/2015	172166.916
7/18/2015	176124.002
7/19/2015	169653.272
7/20/2015	170258.596
7/21/2015	159652.274
7/22/2015	154325.706
7/23/2015	154645.3
7/24/2015	166956.885
7/25/2015	158503.645
7/26/2015	162858.446
7/27/2015	153621.809
7/28/2015	135508.996
7/29/2015	135168.095
7/30/2015	137721.389
7/31/2015	138974.426
8/1/2015	162049.072
8/2/2015	165673.026
8/3/2015	195101.979
8/4/2015	175839.732
8/5/2015	145966.819
8/6/2015	146115.267
8/7/2015	135755.146
8/8/2015	132776.172
8/9/2015	131487.35
8/10/2015	120898.49
8/11/2015	121413.764
8/12/2015	125828.093
8/13/2015	113949.449
8/14/2015	115797.03
8/15/2015	108917.96
8/16/2015	112260.746
8/17/2015	134487.973
8/18/2015	130062.335
8/19/2015	115207.777
8/20/2015	103248.085
8/21/2015	103140.295
8/22/2015	124177.172
8/23/2015	108749.575
8/24/2015	108794.03
8/25/2015	120533.606
8/26/2015	111474.968
8/27/2015	104651.668
8/28/2015	97114.266
8/29/2015	94131.237
8/30/2015	88837.546
8/31/2015	128933.493
9/1/2015	72790.038
9/2/2015	72272.759
9/3/2015	45039.183
9/4/2015	65175.223
9/5/2015	53940.357
9/6/2015	46641.734
9/7/2015	50465.245
9/8/2015	59671.381
9/9/2015	25613.787
9/10/2015	87440.85
9/11/2015	133272.069
9/12/2015	88873.72
9/13/2015	70713.427
9/14/2015	55812.431
9/15/2015	71045.87
9/16/2015	53553.011
9/17/2015	73859.334
9/18/2015	77336.896
9/19/2015	59603.096
9/20/2015	60408.084
9/21/2015	127881.577
9/22/2015	86063.483
9/23/2015	98848.001
9/24/2015	76317.377
9/25/2015	108608.786
9/26/2015	81416.745
9/27/2015	99275.846
9/28/2015	74122.836
9/29/2015	160639.057
9/30/2015	86776.824
10/1/2015	128194.277
10/2/2015	142088.131
10/3/2015	125210.323
10/4/2015	139175.494
10/5/2015	112248.162
10/6/2015	109034.783
10/7/2015	130666.127
10/8/2015	185911.91
10/9/2015	186042.905
10/10/2015	293242.332
10/11/2015	513784.822
10/12/2015	532369.011
10/13/2015	520308.088
10/14/2015	435606.268
10/15/2015	386072.451
10/16/2015	329300.057
10/17/2015	368125.982
10/18/2015	345378.256
10/19/2015	280778.485
10/20/2015	302759.236
10/21/2015	359364.713
10/22/2015	500874.04
10/23/2015	499080.32
10/24/2015	487649.051
10/25/2015	466478.012
10/26/2015	464358.808
10/27/2015	402412.236
10/28/2015	420205.742
10/29/2015	421093.759
10/30/2015	385623.747
10/31/2015	315787.776
11/1/2015	308057.844
11/2/2015	329953.251
11/3/2015	296486.913
11/4/2015	275427.713
11/5/2015	296662.531
11/6/2015	263036.868
11/7/2015	295122.943
11/8/2015	279798.081
11/9/2015	208313.948
11/10/2015	198346.749
11/11/2015	185782.47
11/12/2015	209205.771
11/13/2015	223281.341
11/14/2015	192886.947
11/15/2015	207747.05
11/16/2015	225259.422
11/17/2015	198336.101
11/18/2015	172473.614
11/19/2015	140056.094
11/20/2015	154057.115
11/21/2015	210691.757
11/22/2015	283609.738
11/23/2015	311085.14
11/24/2015	463842.318
11/25/2015	537751.877
11/26/2015	548189.134
11/27/2015	552652.111
11/28/2015	555482.643
11/29/2015	545377.943
11/30/2015	498725.672
12/1/2015	434085.022
12/2/2015	416830.242
12/3/2015	437865.172
12/4/2015	447127.014
12/5/2015	370656.011
12/6/2015	401653.811
12/7/2015	394711.654
12/8/2015	391120.895
12/9/2015	337492.16
12/10/2015	304138.827
12/11/2015	293832.44
12/12/2015	305869.483
12/13/2015	337344.32
12/14/2015	291713.041
12/15/2015	259630.32
12/16/2015	258547.047
12/17/2015	279011.961
12/18/2015	246152.008
12/19/2015	251635.283
12/20/2015	226304.031
12/21/2015	232925.977
12/22/2015	231271.097
12/23/2015	224660.764
12/24/2015	187494.079
12/25/2015	183322.785
12/26/2015	202586.251
12/27/2015	238406.861
12/28/2015	211375.708
12/29/2015	192590.377
12/30/2015	190002.103
12/31/2015	188945.24
1/1/2016	198947.695
1/2/2016	189860.237
1/3/2016	194899.529
1/4/2016	199367.495
1/5/2016	266232.63
1/6/2016	511934.333
1/7/2016	625025.809
1/8/2016	534023.029
1/9/2016	518618.735
1/10/2016	530612.984
1/11/2016	530185.834
1/12/2016	480808.691
1/13/2016	540974.197
1/14/2016	526758.063
1/15/2016	525066.86
1/16/2016	620482.297
1/17/2016	542270.864
1/18/2016	503584.584
1/19/2016	501754.584
1/20/2016	469435.323
1/21/2016	419080.363
1/22/2016	384268.722
1/23/2016	338153.885
1/24/2016	349058.673
1/25/2016	377334.887
1/26/2016	394773.331
1/27/2016	357867.232
1/28/2016	356177.912
1/29/2016	370301.086
1/30/2016	437009.672
1/31/2016	440243.359
2/1/2016	454669.132
2/2/2016	445086.093
2/3/2016	478392.188
2/4/2016	560003.212
2/5/2016	577018.035
2/6/2016	543968.133
2/7/2016	495076.313
2/8/2016	448045.115
2/9/2016	444335.43
2/10/2016	488625.433
2/11/2016	585019.408
2/12/2016	543790.695
2/13/2016	696655.028
2/14/2016	786377.788
2/15/2016	878928.207
2/16/2016	880457.624
2/17/2016	872158.773
2/18/2016	870911.653
2/19/2016	895300.806
2/20/2016	904425.351
2/21/2016	834252.379
2/22/2016	809496.516
2/23/2016	785392.799
2/24/2016	820049.358
2/25/2016	802955.573
2/26/2016	727447.968
2/27/2016	701799.576
2/28/2016	735685.9
2/29/2016	677542.008
3/1/2016	709232.995
3/2/2016	689695.2
3/3/2016	729177.921
3/4/2016	725116.616
3/5/2016	692764.796
3/6/2016	602829.161
3/7/2016	588968.349
3/8/2016	650120.3
3/9/2016	715147.879
3/10/2016	787067.294
3/11/2016	782522.613
3/12/2016	782398.316
3/13/2016	760747.789
3/14/2016	780776.089
3/15/2016	805537.502
3/16/2016	774462.213
3/17/2016	743832.664
3/18/2016	744197.098
3/19/2016	727536.295
3/20/2016	700642.184
3/21/2016	698905.408
3/22/2016	718312.698
3/23/2016	871498.393
3/24/2016	933263.36
3/25/2016	920643.172
3/26/2016	913738.126
3/27/2016	821059.93
3/28/2016	852775.869
3/29/2016	823457.421
3/30/2016	779325.703
3/31/2016	809735.295
4/1/2016	789781.956
4/2/2016	913919.669
4/3/2016	866128.853
4/4/2016	896891.482
4/5/2016	959276.698
4/6/2016	880893.836
4/7/2016	774666.377
4/8/2016	835671.096
4/9/2016	836603.708
4/10/2016	785289.518
4/11/2016	782722.892
4/12/2016	799622.921
4/13/2016	720982.838
4/14/2016	669687.825
4/15/2016	717834.137
4/16/2016	723621.035
4/17/2016	666395.781
4/18/2016	702005.333
4/19/2016	677747.446
4/20/2016	613967.745
4/21/2016	572892.505
4/22/2016	603754.677
4/23/2016	586029.12
4/24/2016	679144.149
4/25/2016	666286.567
4/26/2016	692030.335
4/27/2016	631247.804
4/28/2016	604084.972
4/29/2016	665598.615
4/30/2016	632732.469
5/1/2016	657591.718
5/2/2016	823118.814
5/3/2016	987004.564
5/4/2016	1004783.502
5/5/2016	986550.577
5/6/2016	934908.93
5/7/2016	954819.08
5/8/2016	920311.998
5/9/2016	922086.113
5/10/2016	940240.426
5/11/2016	853638.563
5/12/2016	798232.417
5/13/2016	859742.379
5/14/2016	809248.571
5/15/2016	834969.79
5/16/2016	822075.32
5/17/2016	794750.766
5/18/2016	746168.64
5/19/2016	725226.361
5/20/2016	742740.592
5/21/2016	958249.677
5/22/2016	976826.812
5/23/2016	1051516.64
5/24/2016	1075978.704
5/25/2016	1040300.422
5/26/2016	1003025.669
5/27/2016	909357.956
5/28/2016	854343.098
5/29/2016	823767.598
5/30/2016	805148.77
5/31/2016	747902.7
6/1/2016	638395.225
6/2/2016	639333.672
6/3/2016	593406.578
6/4/2016	562625.994
6/5/2016	535042.654
6/6/2016	588527.149
6/7/2016	564781.742
6/8/2016	481103.32
6/9/2016	456844.146
6/10/2016	468451.159
6/11/2016	482845.409
6/12/2016	429952.183
6/13/2016	537912.599
6/14/2016	487209.106
6/15/2016	450536.961
6/16/2016	425892.27
6/17/2016	404038.026
6/18/2016	398736.629
6/19/2016	397553.881
6/20/2016	376239.142
6/21/2016	350776.987
6/22/2016	339440.839
6/23/2016	319081.941
6/24/2016	324570.728
6/25/2016	317381.816
6/26/2016	315319.622
6/27/2016	301599.642
6/28/2016	290740.012
6/29/2016	286043.291
6/30/2016	275890.5
7/1/2016	317126.301
7/2/2016	322681.796
7/3/2016	308508.09
7/4/2016	295073.069
7/5/2016	288539.774
7/6/2016	280744.384
7/7/2016	281325.338
7/8/2016	269454.854
7/9/2016	263612.573
7/10/2016	254062.001
7/11/2016	245666.406
7/12/2016	213856.727
7/13/2016	222974.773
7/14/2016	214784.179
7/15/2016	228127.707
7/16/2016	243337.317
7/17/2016	215442.801
7/18/2016	207507.213
7/19/2016	198471.82
7/20/2016	193822.877
7/21/2016	189864.037
7/22/2016	183414.435
7/23/2016	176937.263
7/24/2016	175750.685
7/25/2016	188083.31
7/26/2016	210401.707
7/27/2016	204981.42
7/28/2016	197793.566
7/29/2016	176369.408
7/30/2016	162322.511
7/31/2016	157581.913
8/1/2016	158453.213
8/2/2016	164104.238
8/3/2016	157848.411
8/4/2016	154871.203
8/5/2016	152992.605
8/6/2016	148124.53
8/7/2016	176523.67
8/8/2016	235144.21
8/9/2016	233433.012
8/10/2016	204244.406
8/11/2016	194632.794
8/12/2016	190996.378
8/13/2016	176377.865
8/14/2016	168107.856
8/15/2016	162678.24
8/16/2016	155768.772
8/17/2016	153303.787
8/18/2016	158385.656
8/19/2016	163885.237
8/20/2016	161035.34
8/21/2016	154739.413
8/22/2016	210591.102
8/23/2016	184034.713
8/24/2016	160704.49
8/25/2016	155715.315
8/26/2016	149385.152
8/27/2016	148779.255
8/28/2016	144485.121
8/29/2016	159074.236
8/30/2016	156360.393
8/31/2016	174746.599
9/1/2016	150959.898
9/2/2016	151269.442
9/3/2016	148400.225
9/4/2016	146783.772
9/5/2016	143860.337
9/6/2016	315653.32
9/7/2016	611979.035
9/8/2016	505313.781
