Date,Hourly production [kWh]
1/1/15 0:00,4164.416
1/1/15 1:00,4141.814
1/1/15 2:00,4095.769
1/1/15 3:00,4040.07
1/1/15 4:00,4010.582
1/1/15 5:00,3964.288
1/1/15 6:00,3951.818
1/1/15 7:00,3957.764
1/1/15 8:00,3984.691
1/1/15 9:00,4027.11
1/1/15 10:00,4118.769
1/1/15 11:00,4115.706
1/1/15 12:00,4189.754
1/1/15 13:00,4205.581
1/1/15 14:00,4133.6
1/1/15 15:00,4216.371
1/1/15 16:00,4217.733
1/1/15 17:00,4153.253
1/1/15 18:00,4187.652
1/1/15 19:00,3896.994
1/1/15 20:00,3865.144
1/1/15 21:00,3856.658
1/1/15 22:00,3873.486
1/1/15 23:00,3859.322
1/2/15 0:00,3839.676
1/2/15 1:00,3830.181
1/2/15 2:00,3813.058
1/2/15 3:00,3789.807
1/2/15 4:00,3773.84
1/2/15 5:00,3750.95
1/2/15 6:00,3725.384
1/2/15 7:00,3672.964
1/2/15 8:00,3834.317
1/2/15 9:00,3890.186
1/2/15 10:00,3785.132
1/2/15 11:00,3914.726
1/2/15 12:00,4111.278
1/2/15 13:00,4318.94
1/2/15 14:00,4366.208
1/2/15 15:00,4310.758
1/2/15 16:00,4224.596
1/2/15 17:00,4269.326
1/2/15 18:00,4200.313
1/2/15 19:00,4326.976
1/2/15 20:00,4174.026
1/2/15 21:00,4294.126
1/2/15 22:00,4317.196
1/2/15 23:00,4273.726
1/3/15 0:00,4339.804
1/3/15 1:00,4294.4
1/3/15 2:00,4311.832
1/3/15 3:00,4343.204
1/3/15 4:00,4348.46
1/3/15 5:00,4396.587
1/3/15 6:00,4419.447
1/3/15 7:00,4453.977
1/3/15 8:00,4469.101
1/3/15 9:00,4392.286
1/3/15 10:00,4468.622
1/3/15 11:00,4258.018
1/3/15 12:00,4374.566
1/3/15 13:00,4295.757
1/3/15 14:00,4257.558
1/3/15 15:00,4278.428
1/3/15 16:00,3991.716
1/3/15 17:00,4429.926
1/3/15 18:00,4389.714
1/3/15 19:00,4295.804
1/3/15 20:00,4541.19
1/3/15 21:00,4412.883
1/3/15 22:00,4476.467
1/3/15 23:00,4522.843
1/4/15 0:00,4412.076
1/4/15 1:00,4538.079
1/4/15 2:00,4482.942
