Date	Hour	Price
01.01.2018	H1	4.29
01.01.2018	H2	0.22
01.01.2018	H3	0.21
01.01.2018	H4	0.07
01.01.2018	H5	-17.44
01.01.2018	H6	-25.97
01.01.2018	H7	0.03
01.01.2018	H8	0.03
01.01.2018	H9	0.08
01.01.2018	H10	0.11
01.01.2018	H11	0.21
01.01.2018	H12	0.21
01.01.2018	H13	0.21
01.01.2018	H14	0.21
01.01.2018	H15	2.15
01.01.2018	H16	6.03
01.01.2018	H17	15.00
01.01.2018	H18	22.38
01.01.2018	H19	25.99
01.01.2018	H20	26.54
01.01.2018	H21	28.70
01.01.2018	H22	26.00
01.01.2018	H23	25.02
01.01.2018	H24	17.35
02.01.2018	H1	17.99
02.01.2018	H2	16.91
02.01.2018	H3	13.92
02.01.2018	H4	10.27
02.01.2018	H5	12.70
02.01.2018	H6	17.99
02.01.2018	H7	27.65
02.01.2018	H8	35.97
02.01.2018	H9	39.80
02.01.2018	H10	43.64
02.01.2018	H11	43.64
02.01.2018	H12	44.47
02.01.2018	H13	44.00
02.01.2018	H14	42.28
02.01.2018	H15	41.82
02.01.2018	H16	41.50
02.01.2018	H17	45.62
02.01.2018	H18	48.34
02.01.2018	H19	46.00
02.01.2018	H20	42.17
02.01.2018	H21	38.65
02.01.2018	H22	34.00
02.01.2018	H23	30.00
02.01.2018	H24	21.77
03.01.2018	H1	9.60
03.01.2018	H2	5.30
03.01.2018	H3	1.09
03.01.2018	H4	0.21
03.01.2018	H5	0.99
03.01.2018	H6	9.91
03.01.2018	H7	22.49
03.01.2018	H8	35.00
03.01.2018	H9	39.47
03.01.2018	H10	40.60
03.01.2018	H11	39.14
03.01.2018	H12	34.56
03.01.2018	H13	35.10
03.01.2018	H14	36.00
03.01.2018	H15	36.09
03.01.2018	H16	40.78
03.01.2018	H17	51.93
03.01.2018	H18	59.66
03.01.2018	H19	48.83
03.01.2018	H20	41.84
03.01.2018	H21	39.00
03.01.2018	H22	35.84
03.01.2018	H23	32.80
03.01.2018	H24	24.16
04.01.2018	H1	24.89
04.01.2018	H2	16.74
04.01.2018	H3	6.44
04.01.2018	H4	4.29
04.01.2018	H5	10.73
04.01.2018	H6	29.40
04.01.2018	H7	46.14
04.01.2018	H8	49.79
04.01.2018	H9	49.14
04.01.2018	H10	51.29
04.01.2018	H11	50.24
04.01.2018	H12	51.29
04.01.2018	H13	49.14
04.01.2018	H14	47.61
04.01.2018	H15	47.00
04.01.2018	H16	49.14
04.01.2018	H17	52.54
04.01.2018	H18	60.03
04.01.2018	H19	58.20
04.01.2018	H20	56.68
04.01.2018	H21	51.29
04.01.2018	H22	40.89
04.01.2018	H23	35.53
04.01.2018	H24	34.06
05.01.2018	H1	28.47
05.01.2018	H2	20.90
05.01.2018	H3	17.84
05.01.2018	H4	13.14
05.01.2018	H5	16.16
05.01.2018	H6	31.69
05.01.2018	H7	38.71
05.01.2018	H8	38.14
05.01.2018	H9	39.89
05.01.2018	H10	40.30
05.01.2018	H11	40.70
05.01.2018	H12	41.80
05.01.2018	H13	40.70
05.01.2018	H14	39.74
05.01.2018	H15	39.46
05.01.2018	H16	39.60
05.01.2018	H17	44.80
05.01.2018	H18	50.08
05.01.2018	H19	50.29
05.01.2018	H20	46.57
05.01.2018	H21	42.00
05.01.2018	H22	37.08
05.01.2018	H23	35.50
05.01.2018	H24	31.23
06.01.2018	H1	27.50
06.01.2018	H2	27.10
06.01.2018	H3	24.90
06.01.2018	H4	23.57
06.01.2018	H5	23.90
06.01.2018	H6	24.42
06.01.2018	H7	27.20
06.01.2018	H8	27.84
06.01.2018	H9	34.41
06.01.2018	H10	37.17
06.01.2018	H11	39.10
06.01.2018	H12	40.55
06.01.2018	H13	39.94
06.01.2018	H14	39.45
06.01.2018	H15	38.21
06.01.2018	H16	39.89
06.01.2018	H17	41.70
06.01.2018	H18	46.00
06.01.2018	H19	45.02
06.01.2018	H20	42.68
06.01.2018	H21	36.52
06.01.2018	H22	31.96
06.01.2018	H23	32.00
06.01.2018	H24	27.00
07.01.2018	H1	21.16
07.01.2018	H2	15.92
07.01.2018	H3	14.80
07.01.2018	H4	13.23
07.01.2018	H5	14.20
07.01.2018	H6	12.78
07.01.2018	H7	12.90
07.01.2018	H8	14.50
07.01.2018	H9	18.86
07.01.2018	H10	27.00
07.01.2018	H11	27.82
07.01.2018	H12	29.79
07.01.2018	H13	27.07
07.01.2018	H14	25.43
07.01.2018	H15	23.68
07.01.2018	H16	25.00
07.01.2018	H17	33.40
07.01.2018	H18	40.44
07.01.2018	H19	39.07
07.01.2018	H20	36.97
07.01.2018	H21	30.87
07.01.2018	H22	26.08
07.01.2018	H23	26.68
07.01.2018	H24	21.02
08.01.2018	H1	23.80
08.01.2018	H2	19.67
08.01.2018	H3	16.39
08.01.2018	H4	15.42
08.01.2018	H5	18.15
08.01.2018	H6	26.51
08.01.2018	H7	37.51
08.01.2018	H8	48.02
08.01.2018	H9	49.02
08.01.2018	H10	47.10
08.01.2018	H11	45.30
08.01.2018	H12	44.50
08.01.2018	H13	44.00
08.01.2018	H14	42.49
08.01.2018	H15	41.00
08.01.2018	H16	42.69
08.01.2018	H17	44.42
08.01.2018	H18	46.29
08.01.2018	H19	41.97
08.01.2018	H20	40.10
08.01.2018	H21	36.97
08.01.2018	H22	28.00
08.01.2018	H23	24.00
08.01.2018	H24	13.30
09.01.2018	H1	13.38
09.01.2018	H2	10.27
09.01.2018	H3	7.51
09.01.2018	H4	5.73
09.01.2018	H5	7.09
09.01.2018	H6	13.19
09.01.2018	H7	27.13
09.01.2018	H8	38.88
09.01.2018	H9	38.00
09.01.2018	H10	37.00
09.01.2018	H11	37.55
09.01.2018	H12	38.25
09.01.2018	H13	40.00
09.01.2018	H14	39.07
09.01.2018	H15	41.29
09.01.2018	H16	43.00
09.01.2018	H17	44.84
09.01.2018	H18	49.39
09.01.2018	H19	49.72
09.01.2018	H20	46.29
09.01.2018	H21	41.77
09.01.2018	H22	36.84
