WindSpeed	Month	Temperature	Energy
5.8	1	-1.68	858390
0	1	-1.1	64357.5
2.4	1	3.88	705630
1.25	2	9.475	57100
0.8	2	13.84	337420
0	2	6.1	5120
0.8	3	11.32	16050
1	3	17.06	110740
0.8	3	12.08	247090
5.4	4	14.66	587370
0.8	4	18.08	12107.5
0.8	4	15.88	112290
2	5	21.94	173450
2.2	5	19.62	178190
1.2	5	21.72	209050
0.6	6	24.98	44810
1.2	6	27.16	108950
1.25	6	28.675	280700
1	7	22.54	278230
0.4	7	30.38	71300
2	7	35.08	161170
2.25	8	32.75	378100
0.8	8	32.32	87280
1	8	31.22	320
0.6	9	31.24	52310
1.4	9	25.92	117930
1	9	26.22	71300
0.2	10	18.84	4810
0	10	22.08	21760
0.4	10	19.08	73780
0.4	11	11.92	68610
3	11	12.56	532250
2.6	11	11.08	535310
2.2	12	9.14	551640
3	12	5.76	849240
0	12	12.68	276540
5.6	1	0.52	839870
0	1	2.92	51437.5
0	1	3.32	238290
0	2	8.8	5160
0	2	16.48	143930
0	2	5.68	1060
0.6	3	10.7	17130
2.6	3	13.04	606260
5.8	3	14.52	452550
2.8	4	13.64	505100
0.8	4	16.96	47965
1.4	4	16.48	126080
0	5	17.82	77400
0.2	5	16.4	91870
0.8	5	23.24	72470
1	6	26.32	44600
1.2	6	26.12	176160
1.4	6	28.8	254220
2	7	28.44	538820
2.6	7	27.88	380660
2.25	7	34.575	313830
1.2	8	31.56	139360
4.6	8	30.12	750560
1.2	8	32.96	70510
0.75	9	29.6	58680
0	9	24.4	231700
1	9	24.71428571	105310
0	10	19.05	52270
0.8	10	22.56	91010
0.8	10	18.52	46120
1.2	11	11.7	547340
0.4	11	11.18	31730
0.4	11	11.36	112000
3.2	12	13.98	790150
0	12	6.66	233460
2.4	12	8.32	220940
4.4	1	8.66	763640
0.8	1	1.9	14687.5
0	1	3.36	282040
3	2	8.28	372880
0.4	2	13.02	93380
0	2	7.4	3900
4	3	13.04	534280
0.8	3	12.88	234170
0.75	3	11.65	136460
3.4	4	9.68	552210
1	4	16.6	14950
1.2	4	14.24	65590
2.8	5	24.08	431300
1.4	5	14.16	248800
1	5	23.16	108210
0.833333333	6	27.81666667	60590
3	6	27.48333333	576610
1.8	6	23.04	204230
2.4	7	29.52	302730
2	7	30.68	326480
7.4	7	26.8	700210
1.8	8	30.28	269090
3.6	8	29.88	694130
0.8	8	34.1	56950
1	9	31.68	100200
2.6	9	28.68	498290
1.4	9	26.78	229850
0.8	10	19.5	10800
0.6	10	24.9	132390
1	10	18.56	80490
1.2	11	13.6	549450
0	11	12.84	128260
0.2	11	10.44	311990
2.8	12	14.56	540850
3	12	8.95	524830
0.8	12	10.74	144110
5.2	1	6.76	388140
0.4	1	2.8	53777.5
0.8	1	7.24	186080
0	2	5.54	113400
2.6	2	8.76	297260
0	2	8.34	19960
2.8	3	11.52	482860
1	3	11.5	256470
2.4	3	13.28	273720
2	4	11.82	301930
0.8	4	18.1	16100
1.4	4	14.4	45190
1.2	5	23.88	94270
4	5	16.3	841340
1.2	5	23.48	180630
1.6	6	26.84	372430
2.6	6	27	435830
1.6	6	25.22	117260
2.75	7	28.3	252070
3.2	7	31.12	807450
3.6	7	29.58	559810
1.4	8	31.28	294620
0.8	8	30.88	222740
1	8	34.32	73150
1	9	31.72	87530
0.4	9	28.24	79420
3.4	9	25.68	489000
0.2	10	21.14	13910
4.6	10	20.88	839790
1	10	21	167990
0.6	11	13.86	74970
3	11	12.24	443150
2	11	12.78	408000
0.4	12	10.98	16340
1.6	12	7.32	186350
2.4	12	9.28	541800
6.2	1	4.42	800850
0.6	1	6.76	15215
1.8	1	4	326450
0	2	9.05	177490
5.4	2	6.58	682100
0.2	2	12.88	20710
0.8	3	5.86	156260
1.8	3	13.66	380810
1.4	3	12.76	195410
0.6	4	8.52	108460
0.8	4	20.28	16587.5
1	4	15.04	58140
0.8	5	25.92	47490
3.6	5	20.08	619680
1	5	23.72	147060
2.5	6	25.18333333	491680
1.333333333	6	25.26666667	156770
1.2	6	26.66	50530
2.2	7	30.26	230070
2.4	7	29.24	389790
1.4	7	29.7	105090
1.5	8	32.55	234070
1.6	8	31.64	61290
1.2	8	34.52	58760
0.8	9	31.86	72970
2	9	26.84	123100
2.8	9	23.72	491270
0.2	10	21.82	45430
5.6	10	17.96	782470
0.4	10	21.48	67360
0.4	11	13.5	226640
0.6	11	15.1	38540
0.4	11	11.18	24670
1	12	10.7	136050
0.4	12	7.04	43690
5.4	12	6.94	830840
4	1	2.76	807440
0	1	9.78	39960
5.8	1	-1.72	254310
1.2	2	11.64	477960
3.2	2	8.26	572410
0.4	2	12.08	234670
6.4	3	6.06	705250
1.333333333	3	12.28333333	216480
0.2	3	11.32	43120
5.8	4	9.54	698460
0.333333333	4	16.26666667	13462.5
3.4	4	17.3	703290
1	5	27.04	67260
2	5	20.92	289200
3.6	5	22.08	571190
1.75	6	27.625	234930
2.8	6	24.38	601220
1.166666667	6	27	92870
0.8	7	31.26	191590
1.2	7	27.36	164620
0.8	7	31.12	43190
1.333333333	8	30.1	195210
1.6	8	31.84	136490
1	8	35.14	70720
1.2	9	30.26	240950
2	9	18.76	230550
2.6	9	24.7	271930
2.2	10	21.88	407990
1.2	10	17.96	221480
1.2	10	22.72	174710
2	11	13.44	250690
0.4	11	16.4	122360
1.2	11	13.22	123230
1.2	12	8.26	358730
0	12	7.88	193990
3.6	12	8.88	820560
5.5	1	0.825	832440
2.2	1	10.12	123045
8.5	1	-7.4	203280
6.2	2	8.88	807160
1	2	6.3	97200
0	2	10.16	110930
